GO	x2	list1InGO	list1OutGO	list2InGO	list2OutGO
GO:0034655	 0.503569049181511 	2	16	919	17768
GO:0034660	 0.748818678773409 	1	17	332	18355
GO:0034982	 1.96841898173413e-08 	1	17	7	18680
GO:0035085	 0.041429482217588 	1	17	50	18637
GO:0035086	 5.65554029366624e-07 	1	17	9	18678
GO:0035556	 0.999999999999999 	1	17	956	17731
GO:0035639	 0.579418869489633 	3	15	1863	16824
GO:0036094	 0.999999999999708 	3	15	2748	15939
GO:0040011	 0.999999999998448 	1	17	644	18043
GO:0042127	 0.693667264419818 	2	16	1141	17546
GO:0042147	 0.00850895681969728 	1	17	32	18655
GO:0042169	 0.0184755834876959 	1	17	39	18648
GO:0042221	 0.811352240297344 	2	16	2981	15706
GO:0042277	 0.000302260400898944 	2	16	146	18541
GO:0042278	 0.999999999999974 	1	17	539	18148
GO:0042391	 0.34704687991111 	1	17	149	18538
